id,url,date,keywords,mentions,lead,sentiment_raw,sentiment_label
668124,https://www.rtvslo.si/sport/kosarka/liga-nba/v-javnost-prisel-nov-posnetek-moranta-s-pistolo/668124,2023-05-14 18:17:00,"Ja Morant, Memphis Grizzlies, Liga NBA",,"Po družbenih omrežjih je zakrožil nov posnetek Jaja Moranta, na katerem ima odlični košarkar v roki pištolo. Zvezdnik Memphisa je s podobnim videom razburil že marca. Klub ga je do preklica suspendiral.",0.0,neutral
668069,https://www.rtvslo.si/sport/nogomet/nemsko-nogometno-prvenstvo/bayern-z-muellerjem-v-zacetni-postavi-koncno-zablestel-in-razbil-schalke/668069,2023-05-13 20:39:00,"Thomas Müller, Serge Gnabry, Mathys Tel, Sebastien Haller","32. krog:, UNION BERLIN, BORUSSIA (D), Borussia (D):, Borussia (M):, RB LEIPZIG","Napet boj za ""solatni krožnik"" se nadaljuje. Dva kroga pred koncem Bundeslige ima Bayern še vedno točko naskoka pred dortmundsko Borussio. Bavarci so povozili Schalke s 6:0, črno-rumeni pa so bili s 5:2 boljši od Borussie iz Mönchengladbacha.",0.0,neutral
666389,https://www.rtvslo.si/sport/kosarka/jadranska-liga/kosarkarji-olimpije-letos-se-niso-pokazali-taksne-zelje-kot-so-jo-na-tekmi-sezone/666389,2023-05-14 06:44:00,"Cedevita Olimpija, Miro Alilović, Liga ABA","Karlo Matković,, Yogi Ferrell, Zoranom Dragićem, Jurico Golemcem., Simone Pianigani, , Sani Bečirović,, Vlado Ilievski, , Košarkar (klub), Točke (met), Jaka Blažič, Saša Ciani , Vlatko Čančar, Jakob Čebašek , Žiga Dimec, Luka Dončić, Goran Dragić, Zoran Dragić, Gregor Glas ,  SC Derby, Gregor Hrovat, Dijon -, Robert Jurković , Urban Klavžar , - Murcia, Jaka Klobučar , Martin Krampelj , : Scafati, Miha Lapornik , Jurij Macura , Blaž Mahkovic , Jordan Morgan , Edo Murić, Aleksej Nikolić, Mitja Nikolić , Bine Prepelič , Klemen Prepelič, Rok Radović , Luka Rupnik, Matija Samar , Žiga Samar, Leon Stergar , Leon Šantelj , C. zvezda,  C. zvezda, Luka Ščuka , Mike Tobey , Petar Vujačić , SC Derby, SC Derby","""Na najpomembnejši tekmi sezone smo odigrali najboljšo obrambo,"" je bil po preboju v polfinale Lige ABA zadovoljen Miro Alilović, trener Cedevite Olimpije, ki je v četrtfinalu izločila FMP.",0.43813979625701904,positive
667997,https://www.rtvslo.si/sport/kosarka/liga-nba/lakersi-na-krilih-izjemnega-jamesa-izlocili-branilce-naslova-bojevnike/667997,2023-05-13 06:49:00,"LeBron James, Anthony Davis, Stephen Curry","Končana serija:, MIAMI (8)","LeBron James je najboljšo predstavo prihranil za odločilno tekmo. S 30 točkami, 9 skoki in 9 podajami je zrežiral zmago LA Lakersov nad Golden Statom s 122:101. Jezerniki so izločili branilce naslova s 4:2 in se bodo v finalu Zahoda srečali z Denverjem.",0.0,neutral
667457,https://www.rtvslo.si/sport/kosarka/lakovic-biti-trener-je-precej-bolj-stresno-kot-biti-kosarkar/667457,2023-05-09 06:59:00,"Jaka Lakovič, Gran Canaria, Evropski pokal, intervju","Janezu Drvariču, Zmagu Sagadinu, Tomu Mahoriču","""Pot do tega uspeha je bila težka, ampak prepričljiva in na koncu tudi zaslužena zmaga,"" je v intervjuju za MMC povedal nekoč odlični slovenski košarkar, zdaj pa zelo uspešen trener Jaka Lakovič, ki je z Gran Canario osvojil Evropski pokal.  ",0.7515617609024048,positive
667978,https://www.rtvslo.si/sport/nogomet/prva-liga/kvesic-elsnik-in-vipotnik-v-igri-za-naj-nogometasa-domace-sezone/667978,2023-05-12 18:55:00,"Spins, nominacije, izbor najboljših",,"Sindikat profesionalnih igralcev nogometa Slovenije (Spins) je predstavil nominirance za nagrade, ki jih bodo podelili v ponedeljek. Kandidati za najboljšega nogometaša sezone so Mario Kvesić, Timi Max Elšnik in Žan Vipotnik.",0.0,neutral
668112,https://www.rtvslo.si/sport/nogomet/prva-liga/maribor-v-94-minuti-ostal-brez-zmage-v-sezani-radomlje-ze-deset-tekem-brez-poraza/668112,2023-05-14 14:26:00,"nogomet, Prva liga Telemach, 35. krog"," Arnela Jakupovića, Alena Korošca, Rok Kronaveter, Sacha Marasović,  Filip Čuić, Oliverja Bogatinova,  KALCER RADOMLJE","V predzadnjem krogu Prve lige so nogometaši Maribora v 94. minuti ostali brez zmage v Sežani, saj je tik pred koncem izenačujoči zadetek za Tabor dosegel Dino Halilović. Kalcer iz Radomelj je v Spodnji Šiški z 0:1 premagal Bravo.",0.0,neutral
668049,https://www.rtvslo.si/sport/kosarka/liga-nba/bojevniki-priznavajo-letos-nismo-bili-sampionska-ekipa/668049,2023-05-13 16:50:00,"Liga NBA, Golden State Warriors, Steve Kerr, Steph Curry",,"Los Angeles Lakersi so s košarkarskega prestola vrgli Golden State. ""Boljša ekipa je zmagala,"" je priznal trener branilcev naslova Steve Kerr, ki pa verjame, da imajo nosilci njegove vrste še vedno šampionski potencial.",0.0,neutral
668003,https://www.rtvslo.si/sport/nogomet/prva-liga/domzale-pred-zadnjim-krogom-v-boju-za-evropo-pred-koprom-in-muro/668003,2023-05-13 08:39:00,"nogomet, Prva liga Telemach, 35. krog","Aljoša Matko,  Denis Popović, Bartolu Barišiću,  Franko Kovačević, Mirlind Daku, Bernard Karrica, Kobie Morris, Alen Krajnc, 35. krog:, Ob 17.30:","Nogometaši Domžal so v predzadnjem krogu Prve lige z 2:1 ugnali Olimpijo ter so na pragu uvrstitve na končno 4. mesto in v Evropo. Aktualni prvaki so drugič v 10 dneh klonili ob Kamniški Bistrici, saj jih je prejšnjo sredo premagal že Kalcer Radomlje.",0.0,neutral
668058,https://www.rtvslo.si/sport/kosarka/jadranska-liga/cedevita-olimpija-z-odlicno-drugo-cetrtino-tlakovala-pot-v-polfinale/668058,2023-05-13 18:12:00,"Liga ABA, Cedevita Olimpija, FMP","CEDEVITA OLIMPIJA, Prva tekma:, SC DERBY, CRVENA ZVEZDA",Košarkarji Cedevite Olimpije so na odločilni tretji tekmi četrtfinalne serije Lige ABA zanesljivo premagali FMP (97:79) in se prebili med štiri najboljše v regiji.,0.0,neutral
667821,https://www.rtvslo.si/sport/kosarka/evroliga/exum-yabusele-se-mi-ni-opravicil-kar-samo-dokazuje-kaksni-so/667821,2023-05-11 16:18:00,"Evroliga, Real Madrid, Željko Obradović, Dante Exum","Chusa Matea, Sergia Scariola,, Facundo Campazzo., Željka Obradovića,  Sergia Llulla, Kevina Punterja, Dante Exum, Guerschon Yabusele","Dolgo ni nobena serija Evrolige dvignila toliko prahu kot četrtfinalna med Realom in Partizanom, že vse od sezone 2017/18, ko je v madridskem dresu blestel Luka Dončić, pa evroligaški obračun še ni požel toliko zanimanja v Sloveniji.",0.0,neutral
667862,https://www.rtvslo.si/sport/kosarka/liga-nba/denver-izlocil-phoenix-tatum-izsilil-sedmo-tekmo-v-bostonu/667862,2023-05-12 07:04:00,"NBA, končnica, košarka, Denver Nuggets, Boston Celtics, Nikola Jokić, Jayon Tatum","Jaysonom Tatumom, Marcus Smart, Joel Embiid, Tyrese Maxey, Nikola Jokića, Jamal Murray, Vlatko Čančar, Kevin Durant, Šesti tekmi: , Zahod, polfinale, Šesti tekmi:",Denver je prvi konferenčni finalist letošnje končnice v Ligi NBA. Zlata zrna so na šesti tekmi s 125:100 zmagala v Phoenixu in izločila Sonca s 4:2. Predtem je Boston s 95:86 slavil v Philadelphii in izsilil sedmo tekmo.,0.0,neutral
667780,https://www.rtvslo.si/sport/hokej/sp-v-hokeju-2023/dejan-kontrec-ce-ne-bi-bili-optimisticni-potem-bi-tezko-delali-v-sportu/667780,2023-05-12 06:50:00,"Dejan Kontrec, risi, hokej, svetovno prvenstvo, obstanek, elita","Matjaž Kopitar, Anže Kopitar","""Čakajo nas zelo težki tekmeci, a priprave so bile kakovostne, imeli smo dobre tekmece, tudi logistično ni bilo nekih večjih napak, zato upam na najboljše na svetovnem prvenstvu,"" pred začetkom SP-ja razmišlja vodja reprezentance Dejan Kontrec.",0.6335985660552979,positive
667942,https://www.rtvslo.si/sport/nogomet/milec-in-sirk-bosta-pocivala-dve-tekmi-suler-prejel-tri-tekme-kazni/667942,2023-05-12 14:44:00,"Pokal Slovenije, finale, Olimpija, Maribor, Kazni, Disciplinski sodnik, Ljubljana",,"Po burnem pokalnem finalu je disciplinski sodnik za zdaj izrekel le kazni mariborskim uradnim osebam in nogometašema Martinu Milcu in Roku Sirku, ki bosta počivala dve tekmi.",0.0,neutral
668142,https://www.rtvslo.si/sport/kosarka/drzavno-kosarkarsko-prvenstvo/helios-prvi-polfinalist-ilirija-in-podcetrtek-izsilila-tretjo-tekmo/668142,2023-05-14 22:16:00,"košarka, Liga Nova KBM, državno prvenstvo","TERME OLIMIA, CEDEVITA OLIMPIJA","Košarkarji Heliosa so tudi na drugi tekmi četrtfinala Lige Nova KBM ugnali Rogaško (56:94) in se že uvrstili v polfinale. Ilirija proti Šenčurju (97:76), Podčetrtek pa proti Krki (91:81) sta izenačila na 1:1.",0.0,neutral
